,lot_number,miles,transmission,fuel,drive,name,make,year,auction
61,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
62,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
63,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
64,66624664,32.11,Automatic,Gas,All,2022 LAND ROVER RANGE ROVER SPORT HSE SILVER EDITION,Land,2022,FL - MIAMI CENTRAL
65,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
66,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
67,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
68,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
69,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
70,67980054,26.841,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED PLUS,Mazda,2024,FL - ORLANDO SOUTH
71,67980164,58.841,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - ORLANDO SOUTH
72,68150174,27.089,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,NJ - GLASSBORO WEST
